pmid,outcome,labels,full_text_attributes
30291797,"['Decision support needs', 'Attitudes regarding clinical trials', 'Clinical trial participation']","['None', 'Life impact', 'None']","{'Decision support needs': ['no significant differences between MP and PE arms on the Preparation for Decision Making Scale at post-intervention', 'participants in both arms reported high preparedness for decision making (MP mean=71.16 vs. PE M=71.26)', 'intervention arm did not emerge as a significant predictor in separate ANCOVA models predicting change in decision making preparedness'], 'Attitudes regarding clinical trials': [""{'baseline_MP': 3.63, 'baseline_PE': 3.66, 'post-intervention_MP': 3.8, 'post-intervention_PE': 3.71, 'p_baseline': 0.56, 'p_post-intervention': 0.04, 'p_ANCOVA_change': '<0.01'}"", 'significant main effect on both attitudes at post-intervention', 'significant main effect on participation in clinical trials (again controlling for attitudes at baseline)', 'indirect effect of intervention arm through attitudes at post-intervention was also significant (95% CI = 0.01 to 0.10; p=0.05)'], 'Clinical trial participation': [""{'MP arm': '117 (69%)', 'PE arm': '119 (62%)'}"", 'p-value: 0.01', 'significant main effect on participation in clinical trials at follow-up']}"
30290817,"['Therapeutic response', 'Cancer death', 'Serum concentration of programmed cell death ligand 1 on admission']","['Clinical', 'Mortality', 'Clinical']","{'Serum concentration of programmed cell death ligand 1 on admission': ['P = 0.008', 'cutoff point: 7.0 ng/ml', 'cutoff point: 7.1 ng/ml'], 'Therapeutic response': ['no response to chemotherapy', 'P < 0.001', 'chemotherapeutic non-response', '6.8% ± 3.6%, 4.9% ± 3.6%, P = 0.012', 'higher serum concentration of soluble PD-L1 was associated with the higher risk of no response to chemotherapy (HR: 1.40, 95% CI: 1.05 ~ 1.87)', 'positive expression of PD-L1 in tissue was also associated with the higher risk of no response to chemotherapy (HR: 1.76, 95% CI: 1.13 ~ 2.78); HR: 1.86, 95% CI: 1.24 ~ 2.76'], 'Cancer death': ['6.8% ± 3.4%, 4.6% ± 3.7%, P = 0.003', 'HR: 1.41, 95% CI: 1.08 ~ 1.85', 'HR: 1.42, 95% CI: 1.09 ~ 1.84']}"
30286418,"['sensorineural hearing loss', 'Hearing loss at 6 and 24 months', 'Balance assessment', 'Acute and late toxicity', 'Patient-reported quality of life', 'Time to recurrence', 'Survival']","['Adverse Event', 'Clinical', 'Clinical', 'Adverse Event', 'Life impact', 'Clinical', 'Mortality']","{'sensorineural hearing loss': ['25/67 (37%) patients had ≥10 dB sensorineural hearing loss; 3DCRT: 14/36 (39%), CS-IMRT: 11/31 (35%), p = 0.81'], 'Balance assessment': ['not affected by treatment', 'no statistically significant differences seen (Table 2)'], 'Acute and late toxicity': ['no statistically significant differences between 3DCRT and CS-IMRT', 'Dry mouth (any grade) at 12 months: CS-IMRT 38/48 (79%); 3DCRT 22/43 (51%), p = 0.008', 'Salivary gland toxicity: CS-IMRT 37/48 (77%); 3DCRT 27/43 (63%), p = 0.17'], 'Patient-reported quality of life': ['No statistically significant differences between treatment groups were seen in any of the four domains of the hearing-specific GHABP or in general cancer-related QoL using QLQ-C30 or QLQ-HN35'], 'Time to recurrence': ['Two-year TTR event-free rate was 88% (95% CI 75%–94%) with 3DCRT and 88% (95% CI 76%–95%) with CS-IMRT (p = 0.75)', 'HR 1.16 (95% CI 0.48–2.79)'], 'Survival': ['Two-year OS was 82% (95% CI 69%-90%) with 3DCRT and 92% (95% CI 81%-97%) with CS-IMRT (p = 0.72), HR 0.85 (95% CI 0.36-2.01)']}"
30285673,"['Early operative morbidity and mortality', 'Recovery course', 'Postoperative hospital stay']","['Mortality', 'Clinical', 'Resource use']",{}
30281698,"['Number of retrieved lymph nodes', 'Total time of surgery', 'Time of each surgical step', 'Blood loss', 'Length of hospital stay', 'Major and minor complications', 'Conversion rates', 'Costs']","['Clinical', 'Resource use', 'Clinical', 'Adverse Event', 'Resource use', 'Adverse Event', 'Clinical', 'Resource use']","{'Number of retrieved lymph nodes': [], 'Total time of surgery': ['median: 319.5 minutes (170-520) for robotic surgery; median: 248 minutes (85-465) for traditional laparoscopic surgery'], 'Time of each surgical step': ['right pelvic lymphadenectomy: 44.5 minutes (26-128) vs. 33 minutes (21-77);', 'left pelvic lymphadenectomy: 43.5 minutes (27-110) vs. 31 minutes (18-59);', 'paraaortic lymphadenectomy: 93 minutes (24-139) vs. 77 minutes (40-115);', 'hysterectomy: 32 minutes (15-62) vs. 23 minutes (8-62);', 'vaginal closure: 14 minutes (7-39) vs. 15.5 minutes (9-40)'], 'Blood loss': ['estimated: 162 ml (0-2915) for robotic surgery; estimated: 105.5 ml (0-1465) for traditional laparoscopic surgery'], 'Length of hospital stay': ['median: three days'], 'Conversion rates': ['Robotic surgery: 1/xx (conversion to laparotomy), Traditional laparoscopic: 2/xx (conversions to laparotomy)'], 'Costs': ['6,812 US dollars (SD ± 1849) for traditional laparoscopic surgery', '9,655 US dollars (SD ± 850) for robotic surgery']}"
30277569,"['serum testosterone (T), free T, androstenedione and dehydroepiandrosterone sulfate (DHEA-S)', 'female sexual desire assessed with the Female Sexual Function Index']","['Clinical', 'Clinical']","{'serum testosterone (T), free T, androstenedione and dehydroepiandrosterone sulfate (DHEA-S)': ['Median DHEA-S was higher in RT+ women. In the RT+ group a significant decline during the first year after surgery was registered for T, free T, androstenedione and DHEA-S. In the RT- group the decrease was not significant for T, free T and androstenedione but was in DHEA-S. The cross-sectional comparisons one year after surgery showed no significant differences between RT+ and RT_ women regarding T, free T, androstenedione and DHEA-S', 'mean change in T, free T, androstenedione and DHEAS associated with sexual desire (table 4)'], 'female sexual desire assessed with the Female Sexual Function Index': ['baseline response rate: 120 of 125 (96.0%); one year postoperatively response rate: 86 of 86 (100.0%); score did not differ between groups at baseline (p=0.322); median score declined in RT+ women from 2.2 (1.2–6.0) to 1.8 (1.2–5.4), p=0.016; median score did not change in the RT- group (1.8 (1.2–4.2) and 1.8 (1.2–4.8) respectively, p=0.571']}"
30269276,"['folate concentration in tumour, mucosa and plasma', 'gene expression of ABCC3/MRP3, FPGS, GGH, MTHFD1L, SLC46A1/PCFT, and SLC19A1/RFC-1', '5-MTHF/LV ratio']","['Clinical', 'Clinical', 'Clinical']","{'5-MTHF/LV ratio': ['decreased with higher dose of LV given', 'correlated negatively with folate concentration in mucosa (r = − 0.75, p = 0.0009)', 'correlated positively with folate concentration in tumour tissue (r = 0.51, p = 0.031 and r = 0.52, p = 0.019, respectively)'], 'gene expression of ABCC3/MRP3, FPGS, GGH, MTHFD1L, SLC46A1/PCFT, and SLC19A1/RFC-1': ['In untreated patients, the expression of GGH and MTHFD1L was significantly higher in tumour tissue compared to mucosa. After LV injection, a significantly higher gene expression level of GGH, MTHFD1L, SLC19A1/RFC-1, and FPGS was seen in tumour tissue compared to mucosa. However, this was not the case for ABCC3/MRP3 and SLC46A1/PCFT which had higher expression levels in mucosa compared to tumour.', 'increased with increasing dose of LV in tumour tissue', 'no difference according to the LV dose in mucosa', 'significant, negative correlation with folate concentration in mucosa of untreated patients for GGH and MTHFD1L', 'significant, positive correlation with folate concentration in patients who received LV, except for MTHFD1L', 'folate concentration correlated positively with expression of SLC46A1/PCFT in mucosa']}"
30268156,"['Disease-free survival (DFS)', 'Median DFS in vaccine arm: 25.26 months (95% CI 8.74-n.r.)', 'Median DFS in observation arm: 9.53 months (95% CI 5.32-18.88)']","['Mortality', 'Clinical', 'Clinical']",{'Disease-free survival (DFS)': ['25.26 months']}
30260474,['progression-free survival (PFS)'],['Mortality'],{'progression-free survival (PFS)': ['Addition of the 13 SNPs to the model yielded an integrated AUC of 0.81 (95% CI: 0.77–0.83)']}
30259284,"['Adherence to Mediterranean diet guidelines', 'Consumption of anti-inflammatory foods, spices, and herbs', 'Decreased consumption of pro-inflammatory foods', 'Increased use of spices and herbs', 'consumption']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","{'Adherence to Mediterranean diet guidelines': ['+1.6 vs. +.2, P <0.001', 'significant reduction in Calorie intake'], 'Increased use of spices and herbs': ['+1.9 vs. +0.4, P <0.001'], 'consumption': ['−195.5 vs. +34.8', 'P=0.045']}"
30257655,"['individual patient-level summary composite index', 'Qualitative evaluation: program outcome, implementation (facilitators and barriers), and sustainability']","['Life impact', 'Life impact']",{}
30254071,"['lung cancer risk', 'non-small cell lung cancer (NSCLC) risk', 'small-cell lung cancer risk']","['Clinical', 'Clinical', 'Clinical']","{'lung cancer risk': ['late stage (73% stage III or IV)', 'NSCLC vs SCLC mean mdNLR: 2.07, 1.31 and 1.88, 1.21 respectively', '21% increased risk', 'OR: 1.30, 95% CI: 1.04–1.63 for males'], 'non-small cell lung cancer (NSCLC) risk': ['higher mean mdNLR compared to controls (mean, SD: 2.06, 1.31)', 'higher than small-cell lung cancer (SCLC) in terms of mean mdNLR', '30% increased risk', 'OR: 1.34, 95% CI: 1.02–1.75 for males', 'OR: 3.39, 95% CI: 1.32–8.67 for asbestos exposure'], 'small-cell lung cancer risk': ['no statistically significant association']}"
30249191,"['side effects', 'Coping with side effects', 'Tendency to misattribute symptoms', 'Compliance intention', 'Attitude towards the chemotherapy', 'Co-medication to treat side effects', 'Clinician-rated severity of toxicity']","['Adverse Event', 'Life impact', 'Adverse Event', 'Life impact', 'Life impact', 'Adverse Event', 'Adverse Event']",{}
30248943,"['Physical fitness', 'Systolic blood pressure', 'Diastolic blood pressure', 'Waist girth', 'Mental health', 'Social functioning', 'General health', 'Bodily pain']","['Life impact', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Clinical']","{'Social functioning': ['SF-36 scores', 'intervention group', 'control group', 'baseline', 'week 12', 'follow-up', 'F(2,158) = 23.3, p < 0.01, ηp2 < 0.23', 'baseline (66.72 ± 16.46), week 12 (79.77 ± 22.39), three-month follow-up (82.59 ± 19.11)'], 'Physical fitness': ['meters walked increased from baseline (522.6 ± 78.7 m) to week 12 (537.2 ± 89.7 m) and three-month follow-up (546.6 ± 94.1 m); significant time main effect (F(1.8,138.3) = 12.4, p < 0.01, ηp2 = 0.14)', 'time by condition interaction approached significance (F(1.8, 138.3) = 2.65, p = 0.08, ηp2 = 0.33); increase in distance walked from baseline to week 12 in intervention group'], 'General health': ['SF-36 scores', 'intervention group', 'control group', 'baseline', 'week 12', 'follow-up', 'F(1.38,109.38) = 42.1, p < 0.01, ηp2 < 0.35', 'baseline (52.04 ± 10.86), week 12 (68.40 ± 16.02), three-month follow-up (68.33 ± 16.55)'], 'Bodily pain': ['SF-36 scores', 'intervention group', 'control group', 'baseline', 'week 12', 'follow-up', 'F(1.7,129.7) = 48.9, p < 0.01, ηp2 < 0.39', 'baseline (37.96 ± 18.62), week 12 (62.46 ± 19.31), three-month follow-up (66.01 ± 19.84)'], 'Systolic blood pressure': ['decreasing from baseline (139.24 ± 17.9) to week 12 (133.81 ± 18.02) and three months post-intervention (131.21 ± 16.04)', 'F(1.8,140.4) = 13.3, p < 0.01, ηp2 < 0.14'], 'Diastolic blood pressure': ['decreasing from baseline (80.53 ± 10.21) to week 12 (78.33 ± 10.85) and three months post-intervention (76.24 ± 10.59)', 'F (2,160) = 11.5, p < 0.01, ηp2 < 0.13'], 'Waist girth': ['23 cm', 'decreasing from the baseline (98.62 ± 13.12) to week 12 (97.58 ± 13.32)', 'p < 0.01', 'ηp2 < 0.08'], 'Mental health': ['F(2,158) = 4.25, p < 0.05, ηp2 < 0.05', 'baseline (66.33 ± 7.43), week 12 (71.26 ± 12.29), three-month follow-up (69.14 ± 14.80)']}"
30247967,"['Anxiety', 'Pain', 'Nausea', 'Sleep', 'Fatigue', 'Global health', 'Quality of life (QOL)', 'Patient-Reported Outcomes Measurement Information System (PROMIS)-57 scores', 'Defense and Veterans Pain Rating Scale (DVPRS) scores', 'Erythrocyte sedimentation rate (ESR)', 'C-reactive protein (CRP)']","['Life impact', 'Clinical', 'Adverse Event', 'Clinical', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Clinical', 'Clinical', 'Clinical']","{'Anxiety': ['PROMIS Anxiety', '-5.08 (SD 5.61)', 'p = 0.098', 'no significant interaction effects', 'VAS anxiety decreased for both groups, more so in the SCT group', 'decrease', 'p = 0.269'], 'Pain': ['PROMIS-57 subscales of Pain Intensity, Pain Interference', 'no significant between-group mean differences', 'mean difference: 9.93 [TAU] vs. 2.89 [SCT]', 'p-value: 0.005', 'significant group-by-time interaction effects (p = 0.0152)', 'no significant interaction effects'], 'Sleep': ['PROMIS-57 subscales of Sleep Disturbance', 'baseline values were higher in the SCT group', 'no significant interaction effects'], 'Fatigue': ['PROMIS-57 subscales of Fatigue', 'baseline values were higher in the SCT group', 'mean change from T1 to T4: 4.13 [TAU] vs. 0.02 [SCT]', 'p-value: 0.023', 'significant group-by-time interaction effects (p = 0.0288)'], 'Defense and Veterans Pain Rating Scale (DVPRS) scores': ['mean difference: 1.2 [SCT] vs. 3.14 [TAU], p = 0.008'], 'Nausea': ['VAS nausea scores increased less for the SCT group', 'decrease', 'p = 0.141'], 'Erythrocyte sedimentation rate (ESR)': ['ESR subgroup analysis showed statistically significant between-group differences from T1 to T4 favoring the SCT group in the rate of increase among mastectomy patients (p = 0.023)', 'Only the ESR group by time interaction was significant at T4 (p = 0.0197)']}"
30243294,"['Release of VEGF-C and TGF-β', 'Recurrence-free survival (RFS) rates', 'Postoperative pain scores assessed using a visual analogue scale (VAS)', 'Use of perioperative opioids']","['Clinical', 'Mortality', 'Clinical', 'Resource use']","{'Use of perioperative opioids': ['fentanyl', 'TIVA group: 16 (40%), SEV group: 6 (15%)', 'P = 0.023'], 'Postoperative pain scores assessed using a visual analogue scale (VAS)': ['2 h: 3 vs. 3, P = 0.697', '24 h: 2 vs. 2, P = 0.098'], 'Recurrence-free survival (RFS) rates': ['78% and 95% in the SEV and TIVA groups']}"
30241227,"['overall survival (OS)', 'disease-free survival (DFS)']","['Mortality', 'Mortality']","{'overall survival (OS)': ['86.2% (95% CI, 77% to 91.9%) at 3 years', '75.4% (95% CI, 61.8% to 84.8%) at 5 years', 'pelvic lymphadenectomy, yes v no: hazard ratio [HR], 0.15; 95% CI, 0.05 to 0.44, P = .001; peritoneal cytology, positive v negative: HR, 18.78; 95% CI, 4.70 to 74.90; P < .001', '92.67% (95% CI, 78.9% to 97.7%) and 81.3% (95% CI, 67.3% to 89.7%), respectively; HR, 2.38; 95% CI, 0.65 to 8.67; P = .19'], 'disease-free survival (DFS)': ['78.3% (95% CI, 69.3% to 85%) at 3 years', '69.5% (95% CI, 55.6% to 79.7%) at 5 years', 'pelvic lymphadenectomy, yes v no: HR, 0.31; 95% CI, 0.11 to 0.85; P = .023; peritoneal cytology, positive v negative: HR, 5.55; 95% CI, 1.58 to 19.52; P = .008', '93.67% (95% CI, 81.5% to 97.9%) for patients with endometrioid carcinoma grade 1 or 2, compared with 68.5% (95% CI, 55.5% to 78.4%) for patients with endometrioid carcinoma grade 3 or nonendometrioid histologies; HR, 4.98; 95% CI, 1.49 to 16.67; P = .0017']}"
